transaction_date,transaction_barcode,item_number,description,description2,combined_description,item_unit_price
2024-07-07,21133400703172407071648,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2024-07-07,21133400703172407071648,2534,CHERRIES,907 G / 2 LB,CHERRIES 907 G / 2 LB,5.99
2024-07-07,21133400703172407071648,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-07-07,21133400703172407071648,568915,ORG CUCUMBER,,,5.99
2024-07-07,21133400703172407071648,1740173,BK POKEMON,DK PROP/JV,BK POKEMON DK PROP/JV,12.99
2024-07-07,21133400703172407071648,36886,ORGANIC GT,,,19.99
2024-07-07,21133400703172407071648,370,ORG EVERYTHG,CHOP SALAD KIT 2PK,ORG EVERYTHG CHOP SALAD KIT 2PK,8.99
2024-07-07,21133400703172407071648,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,8.99
2024-07-07,21133400703172407071648,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2024-07-07,21133400703172407071648,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,22.99
2024-07-07,21133400703172407071648,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.49
2024-07-07,21133400703172407071648,203444,KS PECANS,C15T6H5 P450 SL200,KS PECANS C15T6H5 P450 SL200,10.99
2024-07-07,21133400703172407071648,17368,STEELHEAD,FARM RAISED,STEELHEAD FARM RAISED,10.99
2024-07-07,21133400703172407071648,21046,TOMATO MEDLE,,,6.59
2024-07-07,21133400703172407071648,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2023-01-24,21133401101982301241257,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2023-01-24,21133401101982301241257,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.69
2023-01-24,21133401101982301241257,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2023-01-24,21133401101982301241257,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-01-24,21133401101982301241257,1493488,KS BABY WIPE,FRAGRANCE FREE 900CT P56,KS BABY WIPE FRAGRANCE FREE 900CT P56,20.99
2023-01-24,21133401101982301241257,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.59
2023-01-24,21133401101982301241257,512599,**KS TOWEL**,P24 FQ/P20,**KS TOWEL** P24 FQ/P20,19.99
